source_gene,target_gene,is_true_edge,full_model_importance,no_priors_importance
ANKRD6,ABCA1,False,12.766824,16.51757
ANKRD6,ABCD3,False,3.5063095,3.0161803
ANKRD6,ABI1,False,12.307331,16.091034
ANKRD6,ABLIM1,False,4.681694,4.8733397
ANKRD6,ACAT1,False,10.598224,14.004786
ANKRD6,ACO1,False,13.831771,17.50614
ANKRD6,ACOX3,False,4.928549,6.202836
ANKRD6,ACTC1,False,4.1714067,3.8755202
ANKRD6,ACTR6,False,11.065121,14.69346
ANKRD6,ACVR2A,False,15.185364,18.76265
ANKRD6,ADAM9,False,5.0780754,5.648427
ANKRD6,ADAMTS3,False,4.928549,6.202836
ANKRD6,AGL,False,7.187763,8.974366
ANKRD6,AGPAT5,False,11.065121,14.69346
ANKRD6,AK4,False,22.275108,26.197573
ANKRD6,AKAP2,False,15.184314,18.761677
ANKRD6,ALCAM,False,4.1714067,3.8755202
ANKRD6,ALDH9A1,False,4.928549,6.202836
ANKRD6,ALG11,False,13.342869,17.052303
ANKRD6,ALG6,False,11.561253,15.398466
ANKRD6,ALKBH1,False,10.993425,14.587708
ANKRD6,ALPK2,False,4.928549,6.202836
ANKRD6,AMIGO2,False,4.928549,6.202836
ANKRD6,AMMECR1,False,11.812181,15.631397
ANKRD6,AMN1,False,3.4541116,3.1471398
ANKRD6,ANAPC4,False,14.411362,18.044163
ANKRD6,ANGPT2,False,5.2953477,6.073283
ANKRD6,ANK2,False,8.826147,11.39098
ANKRD6,ANKIB1,False,11.424771,15.223944
ANKRD6,ANKMY2,False,4.928549,6.202836
ANKRD6,ANKRD13C,False,4.928549,6.202836
ANKRD6,ANKRD26,False,4.928549,6.202836
ANKRD6,ANKRD28,False,5.4022365,6.282295
ANKRD6,ANKRD36,False,13.236618,16.953672
ANKRD6,ANKRD46,False,12.457673,16.230595
ANKRD6,ANKRD50,False,13.054941,16.785025
ANKRD6,ANO5,False,10.465537,13.809074
ANKRD6,ANXA3,False,4.928549,6.202836
ANKRD6,AP3B1,False,4.681694,4.8733397
ANKRD6,AP5M1,False,17.144407,20.58119
ANKRD6,APOBEC3C,False,8.616107,11.081171
ANKRD6,ARFGAP3,False,11.363317,15.133297
ANKRD6,ARFIP1,False,8.826147,11.39098
ANKRD6,ARG2,False,9.066361,11.745293
ANKRD6,ARHGAP12,False,5.0457935,5.585304
ANKRD6,ARHGAP28,False,4.928549,6.202836
ANKRD6,ARHGAP29,False,3.4541116,3.1471398
ANKRD6,ARHGAP42,False,6.041277,7.283302
ANKRD6,ARID4A,False,16.438017,19.925459
ANKRD6,ARL4A,False,14.989185,18.580542
ANKRD6,ARL4D,False,4.928549,6.202836
ANKRD6,ARL8B,False,16.218666,19.721844
ANKRD6,ARMC1,False,13.023997,16.756298
ANKRD6,ARMC8,False,15.943079,19.46602
ANKRD6,ARMCX1,False,15.372978,18.936806
ANKRD6,ARMCX2,False,12.990916,16.72559
ANKRD6,ARMCX3,False,3.4541116,3.1471398
ANKRD6,ARRDC3,False,14.027132,17.687489
ANKRD6,ASAP2,False,4.928549,6.202836
ANKRD6,ASB3,False,8.412825,10.781329
ANKRD6,ASH2L,False,4.928549,6.202836
ANKRD6,ASNS,False,15.519811,19.073112
ANKRD6,ASPM,False,14.027132,17.687489
ANKRD6,ASS1,False,4.928549,6.202836
ANKRD6,ATAD5,False,8.431166,10.808379
ANKRD6,ATG4C,False,4.928549,6.202836
ANKRD6,ATG5,False,9.844932,12.893682
ANKRD6,ATL2,False,16.23193,19.734154
ANKRD6,ATP11B,False,6.568061,8.060306
ANKRD6,ATP2B4,False,6.793146,8.392305
ANKRD6,ATP6V1H,False,5.0780754,5.648427
ANKRD6,ATR,False,6.041277,7.283302
ANKRD6,AURKA,False,9.28742,12.071353
ANKRD6,AXL,False,20.278444,23.819485
ANKRD6,B3GNT2,False,9.723609,12.714731
ANKRD6,B3GNT5,False,4.928549,6.202836
ANKRD6,B4GALT4,False,5.4022365,6.282295
ANKRD6,BAG3,False,3.4541116,3.1471398
ANKRD6,BAMBI,False,4.928549,6.202836
ANKRD6,BCAP29,False,11.696339,15.523862
ANKRD6,BCAR3,False,4.928549,6.202836
ANKRD6,BCL11A,False,17.929153,21.309652
ANKRD6,BHLHE40,False,4.928549,6.202836
ANKRD6,BIRC2,False,18.069735,21.440147
ANKRD6,BLM,False,11.911222,15.723335
ANKRD6,BMP2,False,5.7261953,6.8185577
ANKRD6,BMP4,False,4.928549,6.202836
ANKRD6,BMPER,False,4.928549,6.202836
ANKRD6,BMPR1A,False,4.928549,6.202836
ANKRD6,BNIP2,False,6.793146,8.392305
ANKRD6,BNIP3,False,12.074703,15.875092
ANKRD6,BNIP3L,False,16.15164,19.659624
ANKRD6,BORA,False,4.928549,6.202836
ANKRD6,BPGM,False,4.928549,6.202836
ANKRD6,BRCA2,False,14.189443,17.838158
ANKRD6,BRMS1L,False,9.389943,12.222574
ANKRD6,BTBD10,False,13.831771,17.50614
ANKRD6,BUB1B,False,20.065042,23.565317
ANKRD6,C10orf88,False,3.4541116,3.1471398
ANKRD6,C12orf29,False,4.928549,6.202836
ANKRD6,C18orf25,False,14.558828,18.181053
ANKRD6,C18orf54,False,12.832784,16.5788
ANKRD6,C1GALT1C1,False,4.928549,6.202836
ANKRD6,C1orf112,False,13.539459,17.234793
ANKRD6,C21orf91,False,14.16727,17.817575
ANKRD6,C3orf14,False,13.831771,17.50614
ANKRD6,C3orf38,False,12.269545,16.055958
ANKRD6,C4orf46,False,15.236088,18.809734
ANKRD6,C5orf22,False,11.52671,15.366401
ANKRD6,C5orf30,False,11.993852,15.800038
ANKRD6,C9orf72,False,15.826926,19.3582
ANKRD6,CA14,False,8.205842,10.47603
ANKRD6,CA2,False,4.928549,6.202836
ANKRD6,CAB39,False,9.084371,11.771855
ANKRD6,CALB1,False,11.651846,15.482562
ANKRD6,CAMK2D,False,13.054941,16.785025
ANKRD6,CAMSAP2,False,3.4541116,3.1471398
ANKRD6,CAP2,False,9.16454,11.890107
ANKRD6,CAPRIN2,False,5.7261953,6.8185577
ANKRD6,CASD1,False,4.1714067,3.8755202
ANKRD6,CASP8AP2,False,4.928549,6.202836
ANKRD6,CBLL1,False,13.40768,17.112463
ANKRD6,CBR1,False,10.68272,14.129417
ANKRD6,CCDC138,False,8.636887,11.111819
ANKRD6,CCDC141,False,4.177304,3.8870518
ANKRD6,CCDC18,False,11.300222,15.040232
ANKRD6,CCDC66,False,14.153029,17.804356
ANKRD6,CCDC80,False,4.928549,6.202836
ANKRD6,CCDC81,False,4.928549,6.202836
ANKRD6,CCDC82,False,15.305832,18.874477
ANKRD6,CCDC93,False,9.529104,12.427834
ANKRD6,CCKBR,False,4.928549,6.202836
ANKRD6,CCNA2,False,13.906716,17.57571
ANKRD6,CCNB2,False,11.740306,15.564678
ANKRD6,CCNE2,False,15.198457,18.774805
ANKRD6,CCNH,False,11.993852,15.800038
ANKRD6,CCPG1,False,11.394244,15.178913
ANKRD6,CD200,False,11.33198,15.087074
ANKRD6,CD9,False,15.322732,18.890165
ANKRD6,CDC20,False,14.93219,18.527636
ANKRD6,CDC23,False,11.424771,15.223944
ANKRD6,CDC37L1,False,13.235444,16.952583
ANKRD6,CDC42BPA,False,12.961334,16.69813
ANKRD6,CDC7,False,13.235738,16.952856
ANKRD6,CDCA2,False,12.961334,16.69813
ANKRD6,CDCA8,False,9.844932,12.893682
ANKRD6,CDH11,False,4.928549,6.202836
ANKRD6,CDK1,False,18.648216,21.977142
ANKRD6,CDK17,False,5.4022365,6.282295
ANKRD6,CDK6,False,10.0411625,13.183122
ANKRD6,CDKN2AIP,False,12.9296055,16.668678
ANKRD6,CELF2,False,14.050854,17.70951
ANKRD6,CENPJ,False,16.142975,19.65158
ANKRD6,CENPQ,False,4.1714067,3.8755202
